Name,Quantity,SuggestedPrice
Acai Berry,412,5.4800000000
Adamantite,90,16.6500000000
Alchemical Resin,145,7.6600000000
Alkahest,2695,2.8400000000
Almandine,399,0.9300000000
Amethyst,143,1.5900000000
Ancestor Silk,672,20.5800000000
Ancient Sandstone,53,14.2000000000
Ancient Scale,3,17.0300000000
Antimony,30,35.6000000000
Apples,398,6.9300000000
Argent Pelt,9,72.4000000000
Argentum,267,7.1100000000
Arkthzand Sprocket,6,2211.6400000000
Ash Canvas,19,19.0800000000
Ashes Of Remorse,5,8.1900000000
Aurbic Amber,2,8438.9400000000
Auric Tusk,9,65.1700000000
Auroran Dust,2,352.3000000000
Azure Plasm,189,9.3700000000
Bananas,170,8.7700000000
Barley,317,5.4600000000
Bast,55,23.9200000000
Bat Oil,4,150.0500000000
Beetle Scuttle,89,128.8900000000
Beets,212,5.7600000000
Bervez Juice,157,162.5800000000
Bittergreen,263,5.4400000000
Black Beeswax,3,66.0800000000
Blessed Thistle,74,123.3900000000
Blood Of Sahrotnax,5,340.9200000000
Bloodroot Flux,5,130.2500000000
Bloodscent Dew,16,90.9900000000
Bloodstone,417,0.9700000000
Blue Entoloma,110,53.0900000000
Boiled Carapace,13,112.8900000000
Bone,27,17.8800000000
Bronze,141,5.9200000000
Bugloss,97,123.8900000000
Butterfly Wing,39,77.2800000000
Calcinium Ingot,108,9.6900000000
Calcinium Ore,9,10.6400000000
Carmine Shieldsilk,73,293.9800000000
Carnelian,99,13.3400000000
Carrots,189,6.2900000000
Cassiterite,30,47.2000000000
Charcoal Of Remorse,40,37.3500000000
Cheese,357,7.0600000000
Chromium Grains,1,11568.4600000000
Chromium Plating,1,127967.5000000000
Chysolite,167,0.9100000000
Citrine,154,1.1900000000
Clam Gall,1,5286.9500000000
Clean Pelt,208,8.3800000000
Cleansed Water,65,51.3500000000
Clear Water,73,11.1700000000
Coarse Chalk,4,22.0100000000
Cobalt,23,74.2600000000
Coffee,347,6.1400000000
Columbine,65,336.0200000000
Comberry,218,5.6300000000
Consecrated Myrrh,9,436.8300000000
Copper Dust,6,86.4300000000
Copper Ounce,1070,9.7600000000
Corn,198,8.5200000000
Corn Flower,77,487.6500000000
Corundum,90,16.6200000000
Cotton,454,9.5300000000
Crawlers Foul Bait,994,3.2300000000
Crocodile Leather,2,225.2600000000
Crown Mimic Stone,60,0.0000000000
Culanda Lacquer,63,1522.5600000000
Daedra Heart,440,40.8400000000
Decorative Wax,199,385.8500000000
Defiled Whiskers,4,45.6000000000
Dekeipa,94,8.8400000000
Denara,10,99.5600000000
Denata,256,4.7700000000
Deni,162,11.0100000000
Denima,90,7.8800000000
Desecrated Grave Soil,6,52.5600000000
Deteri,64,7.6600000000
Diamond,343,1.1600000000
Dibellium,32,3309.8800000000
Dragon Bone,4,3937.3800000000
Dragon Scute,5,37.1500000000
Dragonthorn,213,59.9800000000
Dragonthread,8,66.2700000000
Dreugh Wax,43,8792.6600000000
Dried Blood,2,20.6200000000
Dwarven Ingot,727,5.4300000000
Dwarven Oil,502,14.9000000000
Dwarven Ore,3,33.3300000000
Dwemer Frame,37,832.1200000000
Dwemer Scrap,13,23.7800000000
Eagle Feather,4,34.1700000000
Ebonthread,280,15.5800000000
Ebony Ingot,489,8.9500000000
